dt_zn_c,summer_max_tmp,extreme_hot_days_mean,year
E02000001,22.45659828186035,3.0,2015
E02000002,22.233972549438477,2.0,2015
E02000003,22.30941390991211,2.0,2015
E02000004,22.432655334472656,2.0,2015
E02000005,22.392749786376953,2.0,2015
E02000007,22.420202255249023,2.0,2015
E02000008,22.437389373779297,2.0,2015
E02000009,22.438804626464844,2.0,2015
E02000010,22.461088180541992,2.0,2015
E02000011,22.43297004699707,2.0,2015
E02000012,22.45905113220215,2.0,2015
E02000013,22.47004508972168,2.0,2015
E02000014,22.473896026611328,2.0,2015
E02000015,22.455408096313477,2.0,2015
E02000016,22.458087921142578,2.0,2015
E02000017,22.450265884399414,2.0,2015
E02000018,22.50469207763672,2.0,2015
E02000019,22.497230529785156,1.9724242687225342,2015
E02000020,22.499250411987305,1.710318922996521,2015
E02000021,22.473783493041992,1.978345274925232,2015
E02000022,22.486345291137695,2.0,2015
E02000023,22.510913848876953,2.0,2015
E02000024,21.318029403686523,1.0,2015
E02000025,21.582172393798828,1.0,2015
E02000026,21.627599716186523,1.0,2015
E02000027,21.5614013671875,1.0,2015
E02000028,21.64739418029785,1.0,2015
E02000029,21.72484588623047,1.0,2015
E02000030,21.5939884185791,1.1231366395950317,2015
E02000031,21.60919189453125,1.0,2015
E02000032,21.820024490356445,1.1581727266311646,2015
E02000033,21.852163314819336,1.430950403213501,2015
E02000034,21.681406021118164,1.0011565685272217,2015
E02000035,21.74700355529785,1.3190076351165771,2015
E02000036,21.960784912109375,2.9526941776275635,2015
E02000037,21.884672164916992,2.56207537651062,2015
E02000038,21.8862361907959,1.1612871885299683,2015
E02000039,21.844051361083984,2.4250829219818115,2015
E02000040,21.698890686035156,1.1956896781921387,2015
E02000041,22.05240249633789,3.0,2015
E02000042,21.73539924621582,1.119686484336853,2015
E02000043,21.817535400390625,1.4098107814788818,2015
E02000044,22.016000747680664,3.0,2015
E02000045,21.907472610473633,1.7241452932357788,2015
E02000046,21.72977066040039,1.0100932121276855,2015
E02000047,22.099260330200195,3.000000238418579,2015
E02000048,21.904739379882812,2.0505805015563965,2015
E02000049,22.08009910583496,3.0,2015
E02000050,21.774808883666992,1.0,2015
E02000051,21.847599029541016,1.4008405208587646,2015
E02000052,21.69669532775879,1.0,2015
E02000054,21.95882225036621,2.69963002204895,2015
E02000055,21.896188735961914,1.8470908403396606,2015
E02000056,21.706819534301758,1.0,2015
E02000057,21.947071075439453,2.509341239929199,2015
E02000058,21.817691802978516,1.3520219326019287,2015
E02000059,22.116456985473633,2.8521957397460938,2015
E02000060,21.93001937866211,2.125437021255493,2015
E02000061,21.765958786010742,1.3320733308792114,2015
E02000062,22.08158302307129,2.956840991973877,2015
E02000063,21.99287223815918,2.4076242446899414,2015
E02000064,21.886707305908203,1.8306047916412354,2015
E02000065,22.50034523010254,1.6865956783294678,2015
E02000066,22.414138793945312,2.0,2015
E02000067,22.349288940429688,2.0,2015
E02000068,22.396135330200195,1.7830531597137451,2015
E02000069,22.165771484375,2.0,2015
E02000070,22.090057373046875,1.837264060974121,2015
E02000071,22.099546432495117,1.9955198764801025,2015
E02000072,22.423383712768555,1.928985595703125,2015
E02000073,22.02685546875,1.238747239112854,2015
E02000074,22.270492553710938,2.0,2015
E02000075,22.04496955871582,1.5681140422821045,2015
E02000077,22.044321060180664,1.0,2015
E02000078,22.127737045288086,2.0,2015
E02000079,22.033124923706055,1.159511923789978,2015
E02000080,22.025577545166016,1.0,2015
E02000081,22.121614456176758,1.7309883832931519,2015
E02000082,21.96527862548828,1.0,2015
E02000083,22.32159996032715,2.0,2015
E02000084,22.08976936340332,1.608733057975769,2015
E02000085,22.092687606811523,1.5102620124816895,2015
E02000086,22.107189178466797,1.261675238609314,2015
E02000087,22.15846061706543,1.7241154909133911,2015
E02000088,22.135311126708984,1.6016535758972168,2015
E02000089,22.059391021728516,1.0,2015
E02000090,21.994657516479492,1.03406822681427,2015
E02000091,22.006244659423828,1.1716423034667969,2015
E02000092,22.089580535888672,1.6207364797592163,2015
E02000093,22.149465560913086,3.0,2015
E02000094,22.123790740966797,3.0,2015
E02000095,22.204010009765625,2.999999761581421,2015
E02000096,22.222219467163086,3.0,2015
E02000097,22.119670867919922,3.0,2015
E02000098,22.16776466369629,3.000000238418579,2015
E02000099,22.2319278717041,3.0,2015
E02000100,22.130125045776367,3.0,2015
E02000101,22.205045700073242,3.000000238418579,2015
E02000102,22.17473030090332,3.0,2015
E02000103,22.064359664916992,3.0,2015
E02000104,22.24724006652832,3.0,2015
E02000105,22.178884506225586,3.0,2015
E02000106,22.23884391784668,3.0,2015
E02000107,22.116207122802734,2.914527416229248,2015
E02000108,22.1082763671875,3.0,2015
E02000110,22.194976806640625,3.0,2015
E02000111,22.236312866210938,3.0,2015
E02000112,22.213924407958984,3.000000238418579,2015
E02000113,22.30478858947754,2.999999761581421,2015
E02000114,22.116233825683594,3.0,2015
E02000115,22.084854125976562,2.9892842769622803,2015
E02000116,22.163782119750977,3.0,2015
E02000117,22.26243782043457,3.0,2015
E02000118,22.29216766357422,3.000000238418579,2015
E02000119,22.302946090698242,3.0,2015
E02000120,22.217628479003906,2.976658582687378,2015
E02000121,22.305206298828125,3.0,2015
E02000122,22.103790283203125,3.0,2015
E02000123,22.173582077026367,2.999999761581421,2015
E02000124,22.246000289916992,3.000000238418579,2015
E02000125,22.16575813293457,3.0,2015
E02000126,22.322032928466797,3.0,2015
E02000127,22.03741455078125,1.4878545999526978,2015
E02000128,21.82830047607422,1.0,2015
E02000130,22.165498733520508,1.4193381071090698,2015
E02000131,21.811573028564453,1.0,2015
E02000132,22.15397834777832,1.1901695728302002,2015
E02000133,21.755159378051758,1.0,2015
E02000134,21.957475662231445,1.0,2015
E02000135,22.043729782104492,1.0,2015
E02000136,21.7785701751709,1.0,2015
E02000137,22.027774810791016,1.0,2015
E02000138,22.05703353881836,1.0,2015
E02000139,22.18583869934082,1.2283134460449219,2015
E02000140,22.01027488708496,1.0577929019927979,2015
E02000141,22.09346580505371,1.0,2015
E02000142,21.903093338012695,1.0,2015
E02000144,21.977148056030273,1.0,2015
E02000145,21.891704559326172,1.0279457569122314,2015
E02000146,21.945261001586914,1.0,2015
E02000147,21.92328643798828,1.0,2015
E02000148,21.802385330200195,1.0,2015
E02000149,21.869327545166016,1.0,2015
E02000150,21.935205459594727,1.0,2015
E02000151,21.712974548339844,1.0,2015
E02000152,21.82651710510254,1.0,2015
E02000153,21.859939575195312,1.0,2015
E02000154,21.77643394470215,1.0,2015
E02000155,21.808982849121094,1.0,2015
E02000156,21.70522117614746,1.0,2015
E02000157,21.592884063720703,1.0,2015
E02000158,21.60219383239746,1.0,2015
E02000159,21.413888931274414,1.0,2015
E02000160,21.54952621459961,1.0,2015
E02000161,21.63149070739746,1.0,2015
E02000162,21.205400466918945,1.0,2015
E02000163,21.249303817749023,1.0,2015
E02000165,20.743677139282227,1.0,2015
E02000166,21.804088592529297,1.7274304628372192,2015
E02000167,21.551836013793945,1.1175482273101807,2015
E02000168,22.307907104492188,3.000000238418579,2015
E02000169,21.651460647583008,1.0,2015
E02000170,21.901945114135742,1.6393342018127441,2015
E02000171,22.102603912353516,2.286921739578247,2015
E02000172,22.407114028930664,2.9301745891571045,2015
E02000173,21.853424072265625,1.593675971031189,2015
E02000174,22.446874618530273,3.0,2015
E02000175,21.95673942565918,1.6227108240127563,2015
E02000176,22.118515014648438,2.4966962337493896,2015
E02000177,22.40256118774414,2.9851016998291016,2015
E02000178,22.069679260253906,2.4703898429870605,2015
E02000179,22.181011199951172,2.9152162075042725,2015
E02000180,22.510513305664062,3.0,2015
E02000181,22.064470291137695,2.0092201232910156,2015
E02000182,22.225574493408203,2.590665817260742,2015
E02000183,22.455739974975586,3.0,2015
E02000184,22.58416175842285,3.0,2015
E02000185,22.287418365478516,2.9080097675323486,2015
E02000186,22.55609893798828,3.0,2015
E02000187,22.610015869140625,3.0,2015
E02000188,22.581777572631836,3.0,2015
E02000191,22.490886688232422,2.999999761581421,2015
E02000192,22.45964241027832,2.999999761581421,2015
E02000193,22.359375,2.999999761581421,2015
E02000194,21.683780670166016,1.0,2015
E02000195,21.87969970703125,1.0,2015
E02000196,22.073657989501953,1.0,2015
E02000197,22.109264373779297,1.0018924474716187,2015
E02000198,21.947053909301758,1.0,2015
E02000199,21.894973754882812,1.0,2015
E02000200,21.841299057006836,1.0,2015
E02000201,21.982431411743164,1.0,2015
E02000202,22.04275894165039,1.0,2015
E02000203,21.95197868347168,1.0,2015
E02000204,22.05249786376953,1.0,2015
E02000206,21.94968605041504,1.0,2015
E02000207,21.939619064331055,1.0,2015
E02000208,21.97595977783203,1.0,2015
E02000209,22.04627799987793,1.0,2015
E02000210,21.908447265625,1.0,2015
E02000211,21.868698120117188,1.0,2015
E02000212,22.004621505737305,1.0,2015
E02000213,21.89756965637207,1.0,2015
E02000214,21.821884155273438,1.0,2015
E02000215,21.825706481933594,1.0,2015
E02000216,21.6453857421875,1.0,2015
E02000217,21.9249210357666,1.0,2015
E02000218,21.577625274658203,1.0,2015
E02000219,21.37575912475586,1.0,2015
E02000221,21.757156372070312,1.0,2015
E02000222,21.54766273498535,1.0,2015
E02000223,21.287765502929688,1.0,2015
E02000224,21.681875228881836,1.0,2015
E02000225,21.108116149902344,1.0,2015
E02000226,21.26569366455078,1.0,2015
E02000227,21.155494689941406,1.0,2015
E02000228,21.151748657226562,1.0,2015
E02000229,20.855653762817383,1.0,2015
E02000230,21.45292091369629,1.0,2015
E02000231,21.33051109313965,1.0,2015
E02000232,20.872793197631836,1.0,2015
E02000233,21.105995178222656,1.0,2015
E02000234,21.241052627563477,1.0,2015
E02000235,20.95953369140625,1.0,2015
E02000236,21.11910057067871,1.0,2015
E02000237,20.809146881103516,1.0,2015
E02000238,22.190555572509766,3.0,2015
E02000239,22.174694061279297,3.0,2015
E02000240,22.22893714904785,3.000000238418579,2015
E02000241,22.266191482543945,2.999999761581421,2015
E02000242,22.323848724365234,3.0,2015
E02000243,22.36286735534668,3.0,2015
E02000244,22.36954689025879,3.0,2015
E02000245,22.32248306274414,3.0,2015
E02000246,22.308870315551758,3.0,2015
